comment_id,username,post_id,comment_text,sentiment,emotion,is_toxic,likes
CMT0001,lisa_m,POST009,Interesting approach. Not sure how I feel about it.,neutral,neutral,0,258
CMT0002,priya_k,POST016,You have no talent whatsoever! Stop posting please!,negative,angry,0,417
CMT0003,sarah_j,POST013,Worst video on the internet! Disliked and reported!,negative,angry,0,135
CMT0004,ana_g,POST012,You ruined my mood with this terrible content! 😤,negative,angry,0,224
CMT0005,amy_c,POST018,So emotional watching this. Thank you for sharing,negative,sad,0,228
CMT0006,john_d,POST003,What editing software do you use?,neutral,neutral,0,399
CMT0007,lisa_m,POST018,This is so cringe! I cannot believe people watch this!,negative,angry,0,67
CMT0008,nina_p,POST004,It is what it is. Neither good nor bad.,neutral,neutral,0,455
CMT0009,nina_p,POST003,Is this available to buy somewhere?,neutral,neutral,0,240
CMT0010,ana_g,POST005,Not my style but I can see why others like it.,neutral,neutral,0,343
CMT0011,sarah_j,POST009,This is the best thing I have seen all week! 😍,positive,happy,0,125
CMT0012,dev_k,POST002,This brought back so many painful memories 😢,negative,sad,0,105
CMT0013,chris_b,POST020,Not my style but I can see why others like it.,neutral,neutral,0,107
CMT0014,sam_k,POST004,I CANNOT HANDLE THIS!! TOO GOOD TOO GOOD!! 🔥🔥,positive,excited,0,368
CMT0015,priya_k,POST014,What camera do you use for this? Looks amazing!,neutral,neutral,0,69
CMT0016,zara_h,POST007,Is this available to buy somewhere?,neutral,neutral,0,232
CMT0017,vik_s,POST009,This is absolutely amazing! Love it so much! ❤️,positive,happy,0,497
CMT0018,sam_k,POST007,Get lost you absolute idiot! Worst creator ever!,negative,angry,1,186
CMT0019,zara_h,POST009,Absolutely love your content! Keep shining! 🌟,positive,happy,0,79
CMT0020,john_d,POST009,Pathetic attempt at content creation! Just stop!,negative,angry,0,342
CMT0021,sam_k,POST009,This gave me goosebumps! Absolutely stunning work!,positive,happy,0,359
CMT0022,sofia_l,POST005,You clearly have no idea what you are doing! Terrible!,negative,angry,0,216
CMT0023,chris_b,POST014,I regret watching this! Two minutes of my life wasted!,negative,angry,0,356
CMT0024,riya_d,POST005,Kill this channel! You are absolutely worthless!,negative,angry,1,279
CMT0025,zara_h,POST013,THIS JUST MADE MY ENTIRE YEAR!! AMAZING!!,positive,excited,0,356
CMT0026,vik_s,POST016,This hit different today. Going through hard times 😭,negative,sad,0,230
CMT0027,sam_k,POST016,You clearly have no idea what you are doing! Terrible!,negative,angry,0,79
CMT0028,amy_c,POST012,You are such an idiot! Nobody wants to see your face!,negative,angry,1,298
CMT0029,maya_s,POST010,NO WAY!! This is literally the best thing ever!!,positive,excited,0,341
CMT0030,ana_g,POST009,This is the best thing I have seen all week! 😍,positive,happy,0,232
CMT0031,pooja_r,POST017,Okay video. Forgot about it already.,neutral,neutral,0,161
CMT0032,zara_h,POST013,What editing software do you use?,neutral,neutral,0,142
CMT0033,riya_d,POST002,Worst video on the internet! Disliked and reported!,negative,angry,0,84
CMT0034,sam_k,POST003,I AM SCREAMING RIGHT NOW THIS IS SO GOOD!!!,positive,excited,0,145
CMT0035,lisa_m,POST014,NO WAY!! This is literally the best thing ever!!,positive,excited,0,402
CMT0036,priya_k,POST002,Best creator on this platform hands down! Love you!,positive,happy,0,440
CMT0037,chris_b,POST020,You are incredible! Never stop creating please!,positive,happy,0,453
CMT0038,alex_99,POST019,How long did this take to make?,neutral,neutral,0,13
CMT0039,john_d,POST005,Can you do a tutorial on how you made this?,neutral,neutral,0,242
CMT0040,sofia_l,POST004,Pathetic attempt at content creation! Just stop!,negative,angry,0,126
